all_birds	wins	loss	weighted_score	habitat	N	winrate
common_raven	0	6	-79.3	WATER	6	0
common_sandpiper	0	1	27	WATER	1	0
common_starling	1	2	-5.6	WATER	3	0.33
common_swift	0	2	-67.5	GRASS	2	0
common_tailorbird	2	2	26.5	GRASS	4	0.5
common_teal	0	1	-34	WATER	1	0
common_yellowthroat	1	2	7.8	WATER	3	0.33
coppersmith_barbet	3	5	21	FOREST	8	0.38
corsican_nuthatch	0	4	-69.9	FOREST	4	0
count_raggis_bird_of_paradise	0	5	-76.2	FOREST	5	0
crested_ibis	4	6	-2.9	WATER	10	0.4
crested_lark	2	1	25.6	GRASS	3	0.67
crested_pigeon	0	1	-45	GRASS	1	0
crimson_chat	0	1	0	GRASS	1	0
dark_eyed_junco	0	1	-32.5	GRASS	1	0
desert_wheatear	2	3	-26.7	GRASS	5	0.4
dickcissel	1	3	-44.6	GRASS	4	0.25
double_crested_cormorant	0	1	0	WATER	1	0
downy_woodpecker	1	4	-6.4	FOREST	5	0.2
eastern_bluebird	1	3	-15.7	GRASS	4	0.25
eastern_imperial_eagle	6	4	37.8	GRASS	10	0.6
eastern_kingbird	2	2	28.9	GRASS	4	0.5
eastern_phoebe	1	3	-44.6	WATER	4	0.25
eastern_rosella	0	2	-71.4	GRASS	2	0
eastern_screech_owl	1	0	35	FOREST	1	1
eastern_whipbird	0	1	-42	FOREST	1	0
eleonoras_falcon	1	1	24.1	WATER	2	0.5
emu	0	5	-36.8	WATER	5	0
eurasian_collared_dove	1	0	45	GRASS	1	1
eurasian_coot	0	3	-106.8	WATER	3	0
eurasian_eagle_owl	4	2	33	GRASS	6	0.67
eurasian_golden_oriole	1	6	-60	GRASS	7	0.14
eurasian_green_woodpecker	0	2	-43.4	GRASS	2	0
eurasian_hoopoe	2	3	0	GRASS	5	0.4
eurasian_kestrel	0	2	-72.4	WATER	2	0
eurasian_marsh_harrier	0	1	0	WATER	1	0
eurasian_nutcracker	0	1	-53	FOREST	1	0
eurasian_nuthatch	1	2	-40.1	FOREST	3	0.33
eurasian_sparrowhawk	1	1	56.9	FOREST	2	0.5
eurasian_tree_sparrow	2	2	1.2	GRASS	4	0.5
european_bee_eater	1	5	-51.6	GRASS	6	0.17
european_goldfinch	2	7	-30	GRASS	9	0.22
european_honey_buzzard	1	3	-47	FOREST	4	0.25
european_robin	0	2	-33.8	FOREST	2	0
european_roller	0	1	-45	GRASS	1	0
european_tailed_dove	1	0	45	FOREST	1	1
european_turtle_dove	1	5	-31.7	WATER	6	0.17
ferruginous_hawk	0	1	-40	GRASS	1	0
fire_fronted_serin	2	0	82	GRASS	2	1
fish_crow	0	3	-91.2	GRASS	3	0
forest_owlet	0	3	-46.7	FOREST	3	0
franklins_gull	3	3	33	WATER	6	0.5
galah	2	4	-14.5	GRASS	6	0.33
goldcrest	0	1	-45	FOREST	1	0
golden_eagle	3	6	2.9	WATER	9	0.33
golden_headed_cisticola	0	5	-38.1	GRASS	5	0
golden_pheasant	2	3	24.1	GRASS	5	0.4
goulds_finch	0	2	-76.2	GRASS	2	0
graceful_pina	1	0	45	WATER	1	1
grandala	1	2	-32.3	GRASS	3	0.33
grasshopper_sparrow	0	1	-42	GRASS	1	0
gray_catbird	1	4	-17.8	WATER	5	0.2
gray_wagtail	0	3	-51.2	GRASS	3	0
great_blue_heron	0	3	-37.8	WATER	3	0
great_cormorant	1	3	-8.4	WATER	4	0.25
great_crested_flycatcher	0	5	-75	FOREST	5	0
great_crested_grebe	1	2	-14.5	WATER	3	0.33
great_egret	2	7	-34.3	WATER	9	0.22
great_hornbill	0	9	-97.2	FOREST	9	0
great_horned_owl	1	4	0	FOREST	5	0.2
great_indian_bustard	3	6	24.3	GRASS	9	0.33
great_spotted_woodpecker	1	5	-38.3	FOREST	6	0.17
great_tit	1	5	22.5	FOREST	6	0.17
greater_adjutant	1	2	36.7	WATER	3	0.33
greater_flamingo	0	1	-20	WATER	1	0
greater_prairie_chicken	2	5	-15	GRASS	7	0.29
greater_roadrunner	2	2	2.4	GRASS	4	0.5
green_bee_eater	0	1	-53	FOREST	1	0
green_heron	0	1	-50	WATER	1	0
green_pheasant	1	2	-10	WATER	3	0.33
green_pygmy_goose	0	3	-81.2	WATER	3	0
grey_butcherbird	1	2	0	WATER	3	0.33
grey_headed_mannikin	2	2	26.5	GRASS	4	0.5
grey_teal	1	1	5.8	WATER	2	0.5
grey_warbler	1	2	20	FOREST	3	0.33
greylag_goose	0	5	-72.4	WATER	5	0
hawfinch	1	4	-22.9	FOREST	5	0.2
hermit_thrush	0	5	-81.3	FOREST	5	0
himalayan_monal	2	4	-9.3	GRASS	6	0.33
hooded_crow	0	1	-45	GRASS	1	0
hooded_merganser	0	1	-18	WATER	1	0
hooded_warbler	1	3	-22.9	FOREST	4	0.25
horned_lark	0	2	-19.3	GRASS	2	0
horsfields_bronze_cuckoo	1	3	26.5	GRASS	4	0.25
horsfields_bushlark	0	2	-36.7	GRASS	2	0
house_crow	2	2	31.3	WATER	4	0.5
house_finch	1	2	28.9	WATER	3	0.33
house_sparrow	0	2	-40.5	GRASS	2	0
house_wren	0	1	-20	GRASS	1	0
ibisbill	0	4	-34.9	WATER	4	0
indian_peafowl	2	7	-38.6	WATER	9	0.22
indian_vulture	0	1	-34	GRASS	1	0
indigo_bunting	1	4	-15.2	GRASS	5	0.2
juniper_titmouse	1	0	40	FOREST	1	1
kakapo	3	9	-40.5	FOREST	12	0.25
kea	3	7	-18.9	GRASS	10	0.3
kereru	0	3	-13.4	FOREST	3	0
killdeer	0	5	-44.5	WATER	5	0
king_rail	3	2	35.6	WATER	5	0.6
korimako	0	3	-86.8	FOREST	3	0
large_billed_crow	1	4	-55.9	WATER	5	0.2
laughing_kookaburra	1	3	-19.3	WATER	4	0.25
lazuli_bunting	1	3	3.6	GRASS	4	0.25
lesser_frigatebird	2	6	-53.1	WATER	8	0.25
lesser_whitethroat	1	2	7.8	GRASS	3	0.33
lewins_honeyeater	2	3	-8.9	FOREST	5	0.4
lincolns_sparrow	0	1	-34	GRASS	1	0
little_bustard	3	3	35.7	GRASS	6	0.5
little_egret	0	1	-35	WATER	1	0
little_grebe	2	2	71.1	WATER	4	0.5
little_penguin	1	5	-10.6	WATER	6	0.17
little_pied_cormorant	1	3	-12	WATER	4	0.25
little_ringed_plover	0	1	-34	WATER	1	0
long_tailed_tit	1	0	45	FOREST	1	1
magpie_lark	0	1	-45	GRASS	1	0
major_mitchells_cockatoo	1	2	-32.3	GRASS	3	0.33
mallard	0	1	-34	WATER	1	0
malleefowl	0	1	-42	GRASS	1	0
mandarin_duck	3	2	35.6	WATER	5	0.6
maned_duck	0	3	-89	WATER	3	0
many_colored_fruit_dove	1	1	38.6	FOREST	2	0.5
mississippi_kite	0	1	-35	GRASS	1	0
mistletoebird	1	0	45	FOREST	1	1
moltonis_warbler	2	4	10.6	GRASS	6	0.33
montagus_harrier	0	1	-45	GRASS	1	0
mountain_bluebird	1	0	45	GRASS	1	1
mountain_chickadee	0	2	-86.8	FOREST	2	0
mourning_dove	0	1	-40	WATER	1	0
musk_duck	0	2	-31.8	WATER	2	0
mute_swan	1	4	-61	WATER	5	0.2
noisy_miner	0	3	-59	FOREST	3	0
north_island_brown_kiwi	5	5	39.3	GRASS	10	0.5
northen_gannet	0	2	-76.2	WATER	2	0
northern_bobwhite	4	4	7	GRASS	8	0.5
northern_cardinal	1	1	43.4	FOREST	2	0.5
northern_flicker	0	1	-20	FOREST	1	0
northern_goshawk	0	2	-67.5	FOREST	2	0
northern_mockingbird	0	5	-102.9	WATER	5	0
northern_shoveler	0	2	-83.9	WATER	2	0
olive_backed_sunbird	2	2	51.8	GRASS	4	0.5
orange_footed_scrubfowl	0	1	-42	FOREST	1	0
oriental_bay_owl	0	3	-13.4	FOREST	3	0
osprey	1	5	-38.3	WATER	6	0.17
painted_bunting	4	7	3	GRASS	11	0.36
parrot_crossbill	0	2	-59.8	FOREST	2	0
peaceful_dove	0	1	-34	FOREST	1	0
peregrine_falcon	0	3	-13.4	WATER	3	0
pesquets_parrot	1	2	-32.3	FOREST	3	0.33
pheasant_coucal	1	2	-24.5	GRASS	3	0.33
philippine_eagle	1	3	-7.2	FOREST	4	0.25
pied_billed_grebe	0	1	-40	WATER	1	0
pileated_woodpecker	3	3	37	FOREST	6	0.5
pink_eared_duck	1	2	-30	WATER	3	0.33
plains_wanderer	3	2	21.6	GRASS	5	0.6
plumbeous_redstart	1	2	-6.7	WATER	3	0.33
princess_stephanies_astrapia	1	6	-42.3	FOREST	7	0.14
prothonotary_warbler	2	8	-36.4	WATER	10	0.2
pukeko	1	1	38.6	WATER	2	0.5
purple_gallinule	2	3	0	WATER	5	0.4
pygmy_nuthatch	0	1	-34	FOREST	1	0
rainbow_lorikeet	2	6	-36.4	FOREST	8	0.25
red_avadavat	3	3	41	WATER	6	0.5
red_backed_fairywren	1	0	50	GRASS	1	1
red_backed_shrike	0	3	-86.8	GRASS	3	0
red_bellied_woodpecker	0	1	-45	FOREST	1	0
red_breasted_merganser	1	2	-8.9	WATER	3	0.33
red_capped_robin	1	1	19.3	FOREST	2	0.5
red_cockaded_woodpecker	2	1	76.8	FOREST	3	0.67
red_crossbill	1	2	-24.5	FOREST	3	0.33
red_crowned_crane	3	3	55.5	WATER	6	0.5
red_eyed_bulbul	0	1	-60	GRASS	1	0
red_eyed_vireo	2	2	61.4	FOREST	4	0.5
red_headed_woodpecker	1	2	7.8	WATER	3	0.33
red_knot	2	3	-8.9	WATER	5	0.4
red_legged_partridge	2	0	86.8	GRASS	2	1
red_shouldered_hawk	0	1	-45	FOREST	1	0
red_tailed_hawk	0	1	-42	WATER	1	0
red_throated_hummingbird	0	1	0	GRASS	1	0
red_vented_bulbul	0	3	-83.5	GRASS	3	0
red_wattlebird	0	2	-63.7	FOREST	2	0
red_wattled_lapwing	2	4	-10.6	WATER	6	0.33
red_winged_blackbird	1	3	-20.5	WATER	4	0.25
red_winged_parrot	1	8	-90	FOREST	9	0.11
regent_bowerbird	1	1	9.6	FOREST	2	0.5
rhinoceros_auklet	1	0	45	WATER	1	1
ring_billed_gull	0	5	-76.2	WATER	5	0
rock_pigeon	0	1	-34	GRASS	1	0
rook	1	1	4.8	GRASS	2	0.5
rose_breasted_grosbeak	1	4	-41.9	FOREST	5	0.2
rose_ringed_parakeet	0	1	0	GRASS	1	0
roseate_spoonbill	2	8	-34.9	WATER	10	0.2
rosy_starling	0	1	-42	WATER	1	0
ruby_crowned_kinglet	0	4	-43.4	FOREST	4	0
ruby_throated_hummingbird	0	2	-83.9	GRASS	2	0
ruddy_shelduck	1	1	14.5	WATER	2	0.5
ruff	0	2	0	WATER	2	0
rufous_banded_honeyeater	0	2	-43.4	FOREST	2	0
rufous_night_heron	1	1	24.1	WATER	2	0.5
rufous_owl	2	5	5.5	FOREST	7	0.29
sacred_kingfisher	2	0	86.8	GRASS	2	1
sandhill_crane	2	2	62.6	GRASS	4	0.5
sarus_crane	1	6	-50.5	WATER	7	0.14
satyr_tragopan	0	3	-15.6	FOREST	3	0
savannah_sparrow	0	1	-34	GRASS	1	0
savis_warbler	0	1	-45	WATER	1	0
says_phoebe	1	3	9.6	GRASS	4	0.25
scaled_quail	0	1	14	GRASS	1	0
scaly_breasted_munia	1	2	-3.3	WATER	3	0.33
scissor_tailed_flycatcher	1	5	-55.5	GRASS	6	0.17
silvereye	0	3	-72.3	GRASS	3	0
small_minivet	0	2	-63.7	FOREST	2	0
smew	1	4	-34.3	WATER	5	0.2
snow_bunting	3	3	33	WATER	6	0.5
snowy_egret	1	2	-30	WATER	3	0.33
snowy_owl	0	2	-17.4	WATER	2	0
south_island_robin	0	1	-40	GRASS	1	0
southern_cassowary	1	4	-22.9	FOREST	5	0.2
spangled_drongo	0	2	-32.8	FOREST	2	0
splendid_fairywren	0	1	-20	GRASS	1	0
spoon_billed_sandpiper	2	6	-35	WATER	8	0.25
spotted_kingfisher	1	0	40	GRASS	1	1
spotted_owl	2	5	-21.8	FOREST	7	0.29
spotted_sandpiper	0	1	-45	WATER	1	0
spotted_towhee	0	1	-45	FOREST	1	0
spragues_pipit	3	1	61.4	GRASS	4	0.75
squacco_heron	1	0	35	WATER	1	1
sri_lanka_blue_magpie	1	4	-38.1	FOREST	5	0.2
sri_lanka_frogmouth	0	1	-34	FOREST	1	0
stellars_jay	0	2	0	FOREST	2	0
stork_billed_kingfisher	1	3	-22.9	WATER	4	0.25
stubble_quail	0	1	-32.5	GRASS	1	0
sulphur_crested_cockatoo	0	1	14	FOREST	1	0
superb_lyrebird	1	1	-4.8	FOREST	2	0.5
swainsons_hawk	0	1	-45	GRASS	1	0
tawny_frogmouth	0	1	-45	GRASS	1	0
theklas_lark	1	1	0	GRASS	2	0.5
tree_swallow	2	0	82	WATER	2	1
trumpeter_finch	1	2	36.7	GRASS	3	0.33
trumpeter_swan	0	6	-96.5	WATER	6	0
tufted_titmouse	3	3	31.7	FOREST	6	0.5
tui	0	6	-78	FOREST	6	0
turkey_vulture	0	1	-34	WATER	1	0
twite	1	3	0	GRASS	4	0.25
verditer_flycatcher	0	3	-59	FOREST	3	0
violet_cuckoo	2	2	6	FOREST	4	0.5
violet_green_swallow	0	3	-20	WATER	3	0
wedge_tailed_eagle	4	5	30	WATER	9	0.44
western_meadowlark	0	5	-52.1	GRASS	5	0
western_tanager	3	4	1.4	FOREST	7	0.43
white_backed_woodpecker	1	3	-38.5	FOREST	4	0.25
white_bellied_sea_eagle	0	4	-49.4	WATER	4	0
white_breasted_nuthatch	0	1	-45	FOREST	1	0
white_breasted_woodswallow	0	1	-34	GRASS	1	0
white_browed_tit_warbler	2	5	-15	FOREST	7	0.29
white_crested_laughingthrush	1	2	40.1	FOREST	3	0.33
white_faced_heron	0	2	-82	WATER	2	0
white_faced_ibis	1	4	-5.1	WATER	5	0.2
white_headed_duck	3	3	43.6	WATER	6	0.5
white_stork	1	5	18.5	WATER	6	0.17
white_tailed_dipper	0	1	-34	WATER	1	0
white_throated_dipper	3	3	63.4	WATER	6	0.5
white_throated_kingfisher	0	1	-45	WATER	1	0
white_throated_swift	0	1	0	GRASS	1	0
white_wagtail	5	5	36.4	WATER	10	0.5
whooping_crane	1	6	-2.7	WATER	7	0.14
wild_turkey	1	6	-30	GRASS	7	0.14
willet	0	2	-50.2	WATER	2	0
willie_wagtail	0	2	-23.2	WATER	2	0
willow_tit	1	1	1	FOREST	2	0.5
wilsons_snipe	0	1	0	WATER	1	0
wilsons_storm_petrel	2	2	36.1	WATER	4	0.5
wood_duck	1	3	-16.9	FOREST	4	0.25
wood_stork	6	4	43.7	WATER	10	0.6
wrybill	3	4	36.8	WATER	7	0.43
yellow_bellied_sapsucker	1	0	50	FOREST	1	1
yellow_billed_cuckoo	3	3	27.8	FOREST	6	0.5
yellow_bittern	1	0	45	WATER	1	1
yellow_breasted_chat	0	4	-74.7	WATER	4	0
yellow_headed_blackbird	0	1	-20	WATER	1	0
yellow_rumped_warbler	1	0	40	FOREST	1	1
yellowhammer	2	5	-19.1	GRASS	7	0.29
zebra_dove	2	1	59	GRASS	3	0.67
